problem_name,n_objectives,method,selected,knee_error,KD,KGD,KIGD,supported_knee_count,all_knee_count,R_reported,R_validation,audit_gap
PMOP14,5,CHIM-posthoc,False,,0.9779525231022358,0.9778460265309938,0.9779525231022358,2.0,1001.0,,,
PMOP14,5,TPE-2024-grid,True,0.028635256981241558,0.03270917321462436,0.028635256981241558,0.03270917321462436,2.0,1001.0,,0.06914378961384025,
PMOP1,8,TAFR-meaningful-gain,True,0.47186832568818554,0.7212367841415985,0.28594435229775456,0.7424512092586649,128.0,128.0,1.2604982771560547,1.2604982771560547,0.0
PMOP1,8,equal,True,0.0,0.21491552874023886,0.0,0.24930236736422307,128.0,128.0,,1.124943659890866,
PMOP1,8,CHIM-posthoc,False,,1.0095274830594767,0.5894737969875038,1.027522563545066,128.0,128.0,,,
PMOP1,8,TPE-2024-grid,True,0.0,0.21491552874023886,0.0,0.24930236736422307,128.0,128.0,,1.124943659890866,
PMOP2,8,TAFR-meaningful-gain,True,0.5259188516809404,0.8359395991314299,0.2768299356074795,0.8161960213298491,0.0,128.0,1.3654268615058829,1.3654268615058829,0.0
PMOP2,8,equal,True,0.5259188516809404,0.8359395991314299,0.2768299356074795,0.8161960213298491,0.0,128.0,,1.3654268615058829,
PMOP2,8,CHIM-posthoc,False,,1.153181527030117,0.43427551933441,1.2286687679881136,0.0,128.0,,,
PMOP2,8,TPE-2024-grid,True,0.5259188516809404,0.8359395991314299,0.2768299356074795,0.8161960213298491,0.0,128.0,,1.3654268615058829,
PMOP3,8,TAFR-meaningful-gain,True,0.09589462281009568,0.36428494892881813,0.04926563134529269,0.34652292198037754,128.0,128.0,0.9651326928041375,0.9651326928041376,1.1102230246251565e-16
PMOP3,8,equal,True,0.0,0.32922999284848986,0.0,0.3142912641338216,128.0,128.0,,0.15941424449991648,
PMOP3,8,CHIM-posthoc,False,,1.0426650834306213,0.6059617769198484,1.0282859650014253,128.0,128.0,,,
PMOP3,8,TPE-2024-grid,True,0.0,0.32922999284848986,0.0,0.3142912641338216,128.0,128.0,,0.15941424449991648,
PMOP4,8,TAFR-meaningful-gain,True,0.3740578760300155,0.6423982726430266,0.1372277824185772,0.6632960382632226,0.0,128.0,1.3140031285742815,1.3140031285742815,0.0
PMOP4,8,equal,True,0.3740578760300155,0.6423982726430266,0.1372277824185772,0.6632960382632226,0.0,128.0,,1.3140037818523151,
PMOP4,8,CHIM-posthoc,False,,1.1517353884263,0.6686783659431295,1.2512859028793564,0.0,128.0,,,
PMOP4,8,TPE-2024-grid,True,0.3740578760300155,0.6423982726430266,0.1372277824185772,0.6632960382632226,0.0,128.0,,1.3140031285742815,
PMOP5,8,TAFR-meaningful-gain,True,0.0,0.16633020941072807,0.0,0.2864397684378638,128.0,128.0,1.0067929631814327,1.0067929631814327,0.0
